target	source	value
ANAESTHESIOLOGY	MEDICINE	18
ANATOMICAL PATHOLOGY	MEDICINE	6
ANTHROPOLOGY	BUSINESS 1	8
ANTHROPOLOGY	ECONOMICS	6
ANTHROPOLOGY	HISTORY	6
ANTHROPOLOGY	HONOURS ANTHROPOLOGY	7
ANTHROPOLOGY	HUMANITIES	6
ANTHROPOLOGY	HUMANITIES 1	12
ANTHROPOLOGY	PSYCHOLOGY	10
ANTHROPOLOGY	SOCIAL SCIENCES	16
ANTHROPOLOGY	SOCIAL SCIENCES 1	58
