target	source	value
HONOURS LIFE SCIENCES	COMMERCE	6
HUMANITIES 1	COMMERCE	3
LIFE SCIENCES 1	COMMERCE	4
SOCIAL SCIENCES 1	COMMERCE	18
COMMUNITY MEDICINE	COMMUNITY MEDICINE	2
COMPUTER ENGINEERING	COMPUTER ENGINEERING	9
COMPUTER ENGINEERING CO-OP	COMPUTER ENGINEERING	11
ENGINEERING 1	COMPUTER ENGINEERING	10
COMPUTER ENGINEERING & MANAGEMENT CO-OP	COMPUTER ENGINEERING & MANAGEMENT CO-OP	15
ENGINEERING 1 CO-OP	COMPUTER ENGINEERING & MANAGEMENT CO-OP	2
COMPUTER ENGINEERING & SOCIETY	COMPUTER ENGINEERING & SOCIETY	2
COMPUTER ENGINEERING & SOCIETY CO-OP	COMPUTER ENGINEERING & SOCIETY CO-OP	2
COMPUTER ENGINEERING	COMPUTER ENGINEERING CO-OP	6
COMPUTER ENGINEERING CO-OP	COMPUTER ENGINEERING CO-OP	74
ENGINEERING 1	COMPUTER ENGINEERING CO-OP	9
ENGINEERING 1 CO-OP	COMPUTER ENGINEERING CO-OP	37
IRREGULAR	COMPUTER ENGINEERING CO-OP	2
LIFE SCIENCES 1	COMPUTER SCIENCE 1	2
COMPUTING AND INFORMATION TECHNOLOGY (B.TECH)	COMPUTING AND INFORMATION TECHNOLOGY (B.TECH)	33
CONTINUING	CONTINUING	15
HONOURS ARTS & SCIENCE	CONTINUING	2
HONOURS BACHELOR OF COMMERCE	CONTINUING	5
HONOURS BACHELOR OF HEALTH SCIENCES	CONTINUING	11
HONOURS BIOCHEMISTRY	CONTINUING	6
HONOURS BIOLOGY	CONTINUING	7
HONOURS BIOLOGY (PHYSIOLOGY SPECIALIZATION)	CONTINUING	3
HONOURS ECONOMICS	CONTINUING	3
HONOURS KINESIOLOGY	CONTINUING	17
HONOURS LIFE SCIENCES	CONTINUING	25
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR	CONTINUING	3
LIFE SCIENCES	CONTINUING	9
MATHEMATICAL SCIENCE	CONTINUING	2
POLITICAL SCIENCE	CONTINUING	3
PSYCHOLOGY	CONTINUING	2
SOCIOLOGY	CONTINUING	4
